 S0066 , 3PARA RAT ,T1071,,T1071
 S0244 , Comnie ,T1071,,Comnie
 S0244 , Comnie ,T1071.001,[Comnie](https://attack.mitre.org/software/S0244) uses HTTP for C2 communication.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1119,[Comnie](https://attack.mitre.org/software/S0244) executes a batch script to store discovery information in %TEMP%\info.dat and then uploads the temporarily file to the remote C2 server.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1547,,Comnie
 S0244 , Comnie ,T1547.001,[Comnie](https://attack.mitre.org/software/S0244) achieves persistence by adding a shortcut of itself to the startup path in the Registry.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1547.009,[Comnie](https://attack.mitre.org/software/S0244) establishes persistence via a .lnk file in the victim’s startup path.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1059,,Comnie
 S0244 , Comnie ,T1059.003,[Comnie](https://attack.mitre.org/software/S0244) executes BAT scripts.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1059.005,[Comnie](https://attack.mitre.org/software/S0244) executes VBS scripts.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1573,,Comnie
 S0244 , Comnie ,T1573.001,[Comnie](https://attack.mitre.org/software/S0244) encrypts command and control communications with RC4.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1027,[Comnie](https://attack.mitre.org/software/S0244) uses RC4 and Base64 to obfuscate strings.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1027.001,[Comnie](https://attack.mitre.org/software/S0244) appends a total of 64MB of garbage data to a file to deter any security products in place that may be scanning files on disk.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1057,[Comnie](https://attack.mitre.org/software/S0244) uses the tasklist to view running processes on the victim’s machine.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1018,[Comnie](https://attack.mitre.org/software/S0244) runs the net view command,Comnie
 S0244 , Comnie ,T1518,,Comnie
 S0244 , Comnie ,T1518.001,[Comnie](https://attack.mitre.org/software/S0244) attempts to detect several anti-virus products.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1218,,Comnie
 S0244 , Comnie ,T1218.011,[Comnie](https://attack.mitre.org/software/S0244) uses Rundll32 to load a malicious DLL.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1082,[Comnie](https://attack.mitre.org/software/S0244) collects the hostname of the victim machine.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1016,[Comnie](https://attack.mitre.org/software/S0244) uses ipconfig /all and route PRINT to identify network adapter and interface information.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1049,[Comnie](https://attack.mitre.org/software/S0244) executes the netstat -ano command.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1007,[Comnie](https://attack.mitre.org/software/S0244) runs the command: net start &gt;&gt; %TEMP%\info.dat on a victim.(Citation: Palo Alto Comnie),Comnie
 S0244 , Comnie ,T1102,,Comnie
 S0244 , Comnie ,T1102.002,"[Comnie](https://attack.mitre.org/software/S0244) uses blogs and third-party sites (GitHub, tumbler, and BlogSpot) to avoid DNS-based blocking of their communication to the command and control server.(Citation: Palo Alto Comnie)",Comnie
 S0126 , ComRAT ,T1071,,ComRAT
 S0126 , ComRAT ,T1071.001,[ComRAT](https://attack.mitre.org/software/S0126) has used HTTP requests for command and control.(Citation: NorthSec 2015 GData Uroburos Tools)(Citation: ESET ComRAT May 2020)(Citation: CISA ComRAT Oct 2020),ComRAT
 S0126 , ComRAT ,T1071.003,[ComRAT](https://attack.mitre.org/software/S0126) can use email attachments for command and control.(Citation: ESET ComRAT May 2020),ComRAT
 S0126 , ComRAT ,T1059,,ComRAT
 S0126 , ComRAT ,T1059.001,[ComRAT](https://attack.mitre.org/software/S0126) has used PowerShell to load itself every time a user logs in to the system. [ComRAT](https://attack.mitre.org/software/S0126) can execute PowerShell scripts loaded into memory or from the file system.(Citation: ESET ComRAT May 2020)(Citation: CISA ComRAT Oct 2020),ComRAT
 S0126 , ComRAT ,T1059.003,[ComRAT](https://attack.mitre.org/software/S0126) has used cmd.exe to execute commands.(Citation: ESET ComRAT May 2020),ComRAT
 S0126 , ComRAT ,T1140,[ComRAT](https://attack.mitre.org/software/S0126) has used unique per machine passwords to decrypt the orchestrator payload and a hardcoded XOR key to decrypt its communications module. [ComRAT](https://attack.mitre.org/software/S0126) has also used a unique password to decrypt the file used for its hidden file system.(Citation: ESET ComRAT May 2020)(Citation: CISA ComRAT Oct 2020),ComRAT
 S0126 , ComRAT ,T1573,,ComRAT
 S0126 , ComRAT ,T1573.002,[ComRAT](https://attack.mitre.org/software/S0126) can use SSL/TLS encryption for its HTTP-based C2 channel. [ComRAT](https://attack.mitre.org/software/S0126) has used public key cryptography with RSA and AES encrypted email attachments for its Gmail C2 channel.(Citation: ESET ComRAT May 2020)(Citation: CISA ComRAT Oct 2020) ,ComRAT
 S0126 , ComRAT ,T1546,,ComRAT
 S0126 , ComRAT ,T1546.015,[ComRAT](https://attack.mitre.org/software/S0126) samples have been seen which hijack COM objects for persistence by replacing the path to shell32.dll in registry location HKCU\Software\Classes\CLSID\{42aedc87-2188-41fd-b9a3-0c966feabec1}\InprocServer32.(Citation: NorthSec 2015 GData Uroburos Tools),ComRAT
 S0126 , ComRAT ,T1564,,ComRAT
 S0126 , ComRAT ,T1564.005,[ComRAT](https://attack.mitre.org/software/S0126) has used a portable FAT16 partition image placed in %TEMP% as a hidden file system.(Citation: ESET ComRAT May 2020),ComRAT
 S0126 , ComRAT ,T1036,,ComRAT
 S0126 , ComRAT ,T1036.004,[ComRAT](https://attack.mitre.org/software/S0126) has used a task name associated with Windows SQM Consolidator.(Citation: ESET ComRAT May 2020),ComRAT
 S0126 , ComRAT ,T1112,[ComRAT](https://attack.mitre.org/software/S0126) has modified Registry values to store encrypted orchestrator code and payloads.(Citation: ESET ComRAT May 2020)(Citation: CISA ComRAT Oct 2020) ,ComRAT
 S0126 , ComRAT ,T1106,[ComRAT](https://attack.mitre.org/software/S0126) can load a PE file from memory or the file system and execute it with CreateProcessW.(Citation: ESET ComRAT May 2020),ComRAT
 S0126 , ComRAT ,T1027,[ComRAT](https://attack.mitre.org/software/S0126) has encrypted its virtual file system using AES-256 in XTS mode.(Citation: ESET ComRAT May 2020)(Citation: CISA ComRAT Oct 2020) ,ComRAT
 S0126 , ComRAT ,T1027.009,[ComRAT](https://attack.mitre.org/software/S0126) has embedded a XOR encrypted communications module inside the orchestrator module.(Citation: ESET ComRAT May 2020)(Citation: CISA ComRAT Oct 2020) ,ComRAT
 S0126 , ComRAT ,T1027.010,[ComRAT](https://attack.mitre.org/software/S0126) has used encryption and base64 to obfuscate its orchestrator code in the Registry. [ComRAT](https://attack.mitre.org/software/S0126) has also used encoded PowerShell scripts.(Citation: ESET ComRAT May 2020)(Citation: CISA ComRAT Oct 2020) ,ComRAT
 S0126 , ComRAT ,T1027.011,[ComRAT](https://attack.mitre.org/software/S0126) has stored encrypted orchestrator code and payloads in the Registry.(Citation: ESET ComRAT May 2020)(Citation: CISA ComRAT Oct 2020) ,ComRAT
 S0126 , ComRAT ,T1055,,ComRAT
 S0126 , ComRAT ,T1055.001,[ComRAT](https://attack.mitre.org/software/S0126) has injected its orchestrator DLL into explorer.exe. [ComRAT](https://attack.mitre.org/software/S0126) has also injected its communications module into the victim's default browser to make C2 connections appear less suspicious as all network connections will be initiated by the browser process.(Citation: ESET ComRAT May 2020)(Citation: CISA ComRAT Oct 2020),ComRAT
 S0126 , ComRAT ,T1012,[ComRAT](https://attack.mitre.org/software/S0126) can check the default browser by querying HKCR\http\shell\open\command.(Citation: ESET ComRAT May 2020),ComRAT
 S0126 , ComRAT ,T1053,,ComRAT
 S0126 , ComRAT ,T1053.005,[ComRAT](https://attack.mitre.org/software/S0126) has used a scheduled task to launch its PowerShell loader.(Citation: ESET ComRAT May 2020)(Citation: CISA ComRAT Oct 2020),ComRAT
 S0126 , ComRAT ,T1029,"[ComRAT](https://attack.mitre.org/software/S0126) has been programmed to sleep outside local business hours (9 to 5, Monday to Friday).(Citation: ESET ComRAT May 2020)",ComRAT
 S0126 , ComRAT ,T1518,[ComRAT](https://attack.mitre.org/software/S0126) can check the victim's default browser to determine which process to inject its communications module into.(Citation: ESET ComRAT May 2020),ComRAT
 S0126 , ComRAT ,T1124,"[ComRAT](https://attack.mitre.org/software/S0126) has checked the victim system's date and time to perform tasks during business hours (9 to 5, Monday to Friday).(Citation: CISA ComRAT Oct 2020) ",ComRAT
 S0126 , ComRAT ,T1102,,ComRAT
 S0126 , ComRAT ,T1102.002,[ComRAT](https://attack.mitre.org/software/S0126) has the ability to use the Gmail web UI to receive commands and exfiltrate information.(Citation: ESET ComRAT May 2020)(Citation: CISA ComRAT Oct 2020),ComRAT
 S0608 , Conficker ,T1547,,Conficker
 S0608 , Conficker ,T1547.001,[Conficker](https://attack.mitre.org/software/S0608) adds Registry Run keys to establish persistence.(Citation: Trend Micro Conficker),Conficker
 S0608 , Conficker ,T1543,,Conficker
 S0608 , Conficker ,T1543.003,[Conficker](https://attack.mitre.org/software/S0608) copies itself into the %systemroot%\system32 directory and registers as a service.(Citation: SANS Conficker),Conficker
 S0608 , Conficker ,T1568,,Conficker
 S0608 , Conficker ,T1568.002,[Conficker](https://attack.mitre.org/software/S0608) has used a DGA that seeds with the current UTC victim system date to generate domains.(Citation: SANS Conficker)(Citation: Trend Micro Conficker),Conficker
 S0608 , Conficker ,T1210,[Conficker](https://attack.mitre.org/software/S0608) exploited the MS08-067 Windows vulnerability for remote code execution through a crafted RPC request.(Citation: SANS Conficker),Conficker
 S0608 , Conficker ,T1562,,Conficker
 S0608 , Conficker ,T1562.001,[Conficker](https://attack.mitre.org/software/S0608) terminates various services related to system security and Windows.(Citation: SANS Conficker),Conficker
 S0608 , Conficker ,T1105,[Conficker](https://attack.mitre.org/software/S0608) downloads an HTTP server to the infected machine.(Citation: SANS Conficker),Conficker
 S0608 , Conficker ,T1490,[Conficker](https://attack.mitre.org/software/S0608) resets system restore points and deletes backup files.(Citation: SANS Conficker),Conficker
 S0608 , Conficker ,T1112,[Conficker](https://attack.mitre.org/software/S0608) adds keys to the Registry at HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services and various other Registry locations.(Citation: SANS Conficker)(Citation: Trend Micro Conficker),Conficker
 S0608 , Conficker ,T1046,[Conficker](https://attack.mitre.org/software/S0608) scans for other machines to infect.(Citation: SANS Conficker),Conficker
 S0608 , Conficker ,T1027,[Conficker](https://attack.mitre.org/software/S0608) has obfuscated its code to prevent its removal from host machines.(Citation: Trend Micro Conficker),Conficker
 S0608 , Conficker ,T1021,,Conficker
 S0608 , Conficker ,T1021.002,[Conficker](https://attack.mitre.org/software/S0608) variants spread through NetBIOS share propagation.(Citation: SANS Conficker),Conficker
 S0608 , Conficker ,T1091,[Conficker](https://attack.mitre.org/software/S0608) variants used the Windows AUTORUN feature to spread through USB propagation.(Citation: SANS Conficker)(Citation: Trend Micro Conficker),Conficker
 S0608 , Conficker ,T1124,[Conficker](https://attack.mitre.org/software/S0608) uses the current UTC victim system date for domain generation and connects to time servers to determine the current date.(Citation: SANS Conficker)(Citation: Trend Micro Conficker),Conficker
 S0591 , ConnectWise ,T1059,,ConnectWise
 S0591 , ConnectWise ,T1059.001,[ConnectWise](https://attack.mitre.org/software/S0591) can be used to execute PowerShell commands on target machines.(Citation: Anomali Static Kitten February 2021),ConnectWise
 S0591 , ConnectWise ,T1113,[ConnectWise](https://attack.mitre.org/software/S0591) can take screenshots on remote hosts.(Citation: Anomali Static Kitten February 2021),ConnectWise
 S0591 , ConnectWise ,T1125,[ConnectWise](https://attack.mitre.org/software/S0591) can record video on remote hosts.(Citation: Anomali Static Kitten February 2021),ConnectWise
 S0575 , Conti ,T1059,,Conti
 S0575 , Conti ,T1059.003,[Conti](https://attack.mitre.org/software/S0575) can utilize command line options to allow an attacker control over how it scans and encrypts files.(Citation: CarbonBlack Conti July 2020)(Citation: DFIR Conti Bazar Nov 2021),Conti
 S0575 , Conti ,T1486,"[Conti](https://attack.mitre.org/software/S0575) can use CreateIoCompletionPort(), PostQueuedCompletionStatus(), and GetQueuedCompletionPort() to rapidly encrypt files, excluding those with the extensions of .exe, .dll, and .lnk. It has used a different AES-256 encryption key per file with a bundled RAS-4096 public encryption key that is unique for each victim. [Conti](https://attack.mitre.org/software/S0575) can use “Windows Restart Manager” to ensure files are unlocked and open for encryption.(Citation: Cybereason Conti Jan 2021)(Citation: CarbonBlack Conti July 2020)(Citation: Cybleinc Conti January 2020)(Citation: CrowdStrike Wizard Spider October 2020)(Citation: DFIR Conti Bazar Nov 2021)",Conti
 S0575 , Conti ,T1140,[Conti](https://attack.mitre.org/software/S0575) has decrypted its payload using a hardcoded AES-256 key.(Citation: Cybereason Conti Jan 2021)(Citation: CarbonBlack Conti July 2020),Conti
 S0575 , Conti ,T1083,[Conti](https://attack.mitre.org/software/S0575) can discover files on a local system.(Citation: CarbonBlack Conti July 2020),Conti
 S0575 , Conti ,T1490,[Conti](https://attack.mitre.org/software/S0575) can delete Windows Volume Shadow Copies using vssadmin.(Citation: CarbonBlack Conti July 2020),Conti
 S0575 , Conti ,T1106,[Conti](https://attack.mitre.org/software/S0575) has used API calls during execution.(Citation: Cybereason Conti Jan 2021)(Citation: CarbonBlack Conti July 2020) ,Conti
 S0575 , Conti ,T1135,[Conti](https://attack.mitre.org/software/S0575) can enumerate remote open SMB network shares using NetShareEnum().(Citation: CarbonBlack Conti July 2020)(Citation: CrowdStrike Wizard Spider October 2020),Conti
 S0575 , Conti ,T1027,"[Conti](https://attack.mitre.org/software/S0575) can use compiler-based obfuscation for its code, encrypt DLLs, and hide Windows API calls.(Citation: CarbonBlack Conti July 2020)(Citation: Cybereason Conti Jan 2021)(Citation: CrowdStrike Wizard Spider October 2020)",Conti
 S0575 , Conti ,T1057,[Conti](https://attack.mitre.org/software/S0575) can enumerate through all open processes to search for any that have the string “sql” in their process name.(Citation: CarbonBlack Conti July 2020),Conti
 S0575 , Conti ,T1055,,Conti
 S0575 , Conti ,T1055.001,[Conti](https://attack.mitre.org/software/S0575) has loaded an encrypted DLL into memory and then executes it.(Citation: Cybereason Conti Jan 2021)(Citation: CarbonBlack Conti July 2020),Conti
 S0575 , Conti ,T1021,,Conti
 S0575 , Conti ,T1021.002,"[Conti](https://attack.mitre.org/software/S0575) can spread via SMB and encrypts files on different hosts, potentially compromising an entire network.(Citation: Cybereason Conti Jan 2021)(Citation: CarbonBlack Conti July 2020)",Conti
 S0575 , Conti ,T1018,"
[Conti](https://attack.mitre.org/software/S0575) has the ability to discover hosts on a target network.(Citation: CrowdStrike Wizard Spider October 2020)",Conti
 S0575 , Conti ,T1489,"[Conti](https://attack.mitre.org/software/S0575) can stop up to 146 Windows services related to security, backup, database, and email solutions through the use of net stop.(Citation: CarbonBlack Conti July 2020)",Conti
 S0575 , Conti ,T1016,"[Conti](https://attack.mitre.org/software/S0575) can retrieve the ARP cache from the local system by using the GetIpNetTable() API call and check to ensure IP addresses it connects to are for local, non-Internet, systems.(Citation: CarbonBlack Conti July 2020) ",Conti
 S0575 , Conti ,T1049,[Conti](https://attack.mitre.org/software/S0575) can enumerate routine network connections from a compromised host.(Citation: CarbonBlack Conti July 2020),Conti
 S0575 , Conti ,T1080,[Conti](https://attack.mitre.org/software/S0575) can spread itself by infecting other remote machines via network shared drives.(Citation: Cybereason Conti Jan 2021)(Citation: CarbonBlack Conti July 2020) ,Conti
 S0492 , CookieMiner ,T1059,,CookieMiner
 S0492 , CookieMiner ,T1059.004,[CookieMiner](https://attack.mitre.org/software/S0492) has used a Unix shell script to run a series of commands targeting macOS.(Citation: Unit42 CookieMiner Jan 2019),CookieMiner
 S0492 , CookieMiner ,T1059.006,"[CookieMiner](https://attack.mitre.org/software/S0492) has used python scripts on the user’s system, as well as the Python variant of the [Empire](https://attack.mitre.org/software/S0363) agent, EmPyre.(Citation: Unit42 CookieMiner Jan 2019)",CookieMiner
 S0492 , CookieMiner ,T1543,,CookieMiner
 S0492 , CookieMiner ,T1543.001,[CookieMiner](https://attack.mitre.org/software/S0492) has installed multiple new Launch Agents in order to maintain persistence for cryptocurrency mining software.(Citation: Unit42 CookieMiner Jan 2019),CookieMiner
 S0492 , CookieMiner ,T1555,,CookieMiner
 S0492 , CookieMiner ,T1555.003,[CookieMiner](https://attack.mitre.org/software/S0492) can steal saved usernames and passwords in Chrome as well as credit card credentials.(Citation: Unit42 CookieMiner Jan 2019),CookieMiner
 S0492 , CookieMiner ,T1005,[CookieMiner](https://attack.mitre.org/software/S0492) has retrieved iPhone text messages from iTunes phone backup files.(Citation: Unit42 CookieMiner Jan 2019),CookieMiner
 S0492 , CookieMiner ,T1140,[CookieMiner](https://attack.mitre.org/software/S0492) has used Google Chrome's decryption and extraction operations.(Citation: Unit42 CookieMiner Jan 2019),CookieMiner
 S0492 , CookieMiner ,T1048,,CookieMiner
 S0492 , CookieMiner ,T1048.003,[CookieMiner](https://attack.mitre.org/software/S0492) has used the curl --upload-file command to exfiltrate data over HTTP.(Citation: Unit42 CookieMiner Jan 2019),CookieMiner
 S0492 , CookieMiner ,T1083,"[CookieMiner](https://attack.mitre.org/software/S0492) has looked for files in the user's home directory with ""wallet"" in their name using find.(Citation: Unit42 CookieMiner Jan 2019)",CookieMiner
 S0492 , CookieMiner ,T1562,,CookieMiner
 S0492 , CookieMiner ,T1562.004,"[CookieMiner](https://attack.mitre.org/software/S0492) has checked for the presence of ""Little Snitch"", macOS network monitoring and application firewall software, stopping and exiting if it is found.(Citation: Unit42 CookieMiner Jan 2019)",CookieMiner
 S0492 , CookieMiner ,T1105,[CookieMiner](https://attack.mitre.org/software/S0492) can download additional scripts from a web server.(Citation: Unit42 CookieMiner Jan 2019),CookieMiner
 S0492 , CookieMiner ,T1027,,CookieMiner
 S0492 , CookieMiner ,T1027.010,[CookieMiner](https://attack.mitre.org/software/S0492) has used base64 encoding to obfuscate scripts on the system.(Citation: Unit42 CookieMiner Jan 2019) ,CookieMiner
 S0492 , CookieMiner ,T1496,[CookieMiner](https://attack.mitre.org/software/S0492) has loaded coinmining software onto systems to mine for Koto cryptocurrency. (Citation: Unit42 CookieMiner Jan 2019),CookieMiner
 S0492 , CookieMiner ,T1518,,CookieMiner
 S0492 , CookieMiner ,T1518.001,"[CookieMiner](https://attack.mitre.org/software/S0492) has checked for the presence of ""Little Snitch"", macOS network monitoring and application firewall software, stopping and exiting if it is found.(Citation: Unit42 CookieMiner Jan 2019)",CookieMiner
 S0492 , CookieMiner ,T1539,[CookieMiner](https://attack.mitre.org/software/S0492) can steal Google Chrome and Apple Safari browser cookies from the victim’s machine. (Citation: Unit42 CookieMiner Jan 2019),CookieMiner
 S0212 , CORALDECK ,T1560,,CORALDECK
 S0212 , CORALDECK ,T1560.001,"[CORALDECK](https://attack.mitre.org/software/S0212) has created password-protected RAR, WinImage, and zip archives to be exfiltrated.(Citation: FireEye APT37 Feb 2018)",CORALDECK
 S0212 , CORALDECK ,T1048,,CORALDECK
 S0212 , CORALDECK ,T1048.003,[CORALDECK](https://attack.mitre.org/software/S0212) has exfiltrated data in HTTP POST headers.(Citation: FireEye APT37 Feb 2018),CORALDECK
 S0212 , CORALDECK ,T1083,[CORALDECK](https://attack.mitre.org/software/S0212) searches for specified files.(Citation: FireEye APT37 Feb 2018),CORALDECK
 S0137 , CORESHELL ,T1071,,CORESHELL
 S0137 , CORESHELL ,T1071.001,[CORESHELL](https://attack.mitre.org/software/S0137) can communicate over HTTP for C2.(Citation: FireEye APT28)(Citation: Microsoft SIR Vol 19),CORESHELL
 S0137 , CORESHELL ,T1071.003,[CORESHELL](https://attack.mitre.org/software/S0137) can communicate over SMTP and POP3 for C2.(Citation: FireEye APT28)(Citation: Microsoft SIR Vol 19),CORESHELL
 S0137 , CORESHELL ,T1547,,CORESHELL
 S0137 , CORESHELL ,T1547.001,"[CORESHELL](https://attack.mitre.org/software/S0137) has established persistence by creating autostart extensibility point (ASEP) Registry entries in the Run key and other Registry keys, as well as by creating shortcuts in the Internet Explorer Quick Start folder.(Citation: Microsoft SIR Vol 19)",CORESHELL
 S0137 , CORESHELL ,T1132,,CORESHELL
 S0137 , CORESHELL ,T1132.001,[CORESHELL](https://attack.mitre.org/software/S0137) C2 messages are Base64-encoded.(Citation: FireEye APT28),CORESHELL
 S0137 , CORESHELL ,T1573,,CORESHELL
 S0137 , CORESHELL ,T1573.001,[CORESHELL](https://attack.mitre.org/software/S0137) C2 messages are encrypted with custom stream ciphers using six-byte or eight-byte keys.(Citation: FireEye APT28),CORESHELL
 S0137 , CORESHELL ,T1105,[CORESHELL](https://attack.mitre.org/software/S0137) downloads another dropper from its C2 server.(Citation: FireEye APT28),CORESHELL
 S0137 , CORESHELL ,T1027,[CORESHELL](https://attack.mitre.org/software/S0137) obfuscates strings using a custom stream cipher.(Citation: FireEye APT28),CORESHELL
 S0137 , CORESHELL ,T1027.001,[CORESHELL](https://attack.mitre.org/software/S0137) contains unused machine instructions in a likely attempt to hinder analysis.(Citation: FireEye APT28),CORESHELL
 S0137 , CORESHELL ,T1218,,CORESHELL
 S0137 , CORESHELL ,T1218.011,"[CORESHELL](https://attack.mitre.org/software/S0137) is installed via execution of rundll32 with an export named ""init"" or ""InitW.""(Citation: Microsoft SIR Vol 19)",CORESHELL
 S0137 , CORESHELL ,T1082,"[CORESHELL](https://attack.mitre.org/software/S0137) collects hostname, volume serial number and OS version data from the victim and sends the information to its C2 server.(Citation: FireEye APT28)",CORESHELL
 S0050 , CosmicDuke ,T1071,,CosmicDuke
 S0050 , CosmicDuke ,T1071.001,[CosmicDuke](https://attack.mitre.org/software/S0050) can use HTTP or HTTPS for command and control to hard-coded C2 servers.(Citation: F-Secure The Dukes)(Citation: F-Secure Cosmicduke),CosmicDuke
 S0050 , CosmicDuke ,T1020,[CosmicDuke](https://attack.mitre.org/software/S0050) exfiltrates collected files automatically over FTP to remote servers.(Citation: F-Secure Cosmicduke),CosmicDuke
 S0050 , CosmicDuke ,T1115,[CosmicDuke](https://attack.mitre.org/software/S0050) copies and exfiltrates the clipboard contents every 30 seconds.(Citation: F-Secure Cosmicduke),CosmicDuke
 S0050 , CosmicDuke ,T1543,,CosmicDuke
 S0050 , CosmicDuke ,T1543.003,"[CosmicDuke](https://attack.mitre.org/software/S0050) uses Windows services typically named ""javamtsup"" for persistence.(Citation: F-Secure Cosmicduke)",CosmicDuke
 S0050 , CosmicDuke ,T1555,"[CosmicDuke](https://attack.mitre.org/software/S0050) collects user credentials, including passwords, for various programs including popular instant messaging applications and email clients as well as WLAN keys.(Citation: F-Secure The Dukes)",CosmicDuke
 S0050 , CosmicDuke ,T1555.003,"[CosmicDuke](https://attack.mitre.org/software/S0050) collects user credentials, including passwords, for various programs including Web browsers.(Citation: F-Secure The Dukes)",CosmicDuke
 S0050 , CosmicDuke ,T1005,[CosmicDuke](https://attack.mitre.org/software/S0050) steals user files from local hard drives with file extensions that match a predefined list.(Citation: F-Secure Cosmicduke),CosmicDuke
 S0050 , CosmicDuke ,T1039,[CosmicDuke](https://attack.mitre.org/software/S0050) steals user files from network shared drives with file extensions and keywords that match a predefined list.(Citation: F-Secure Cosmicduke),CosmicDuke
 S0050 , CosmicDuke ,T1025,[CosmicDuke](https://attack.mitre.org/software/S0050) steals user files from removable media with file extensions and keywords that match a predefined list.(Citation: F-Secure Cosmicduke),CosmicDuke
 S0050 , CosmicDuke ,T1114,,CosmicDuke
 S0050 , CosmicDuke ,T1114.001,[CosmicDuke](https://attack.mitre.org/software/S0050) searches for Microsoft Outlook data files with extensions .pst and .ost for collection and exfiltration.(Citation: F-Secure Cosmicduke),CosmicDuke
 S0050 , CosmicDuke ,T1573,,CosmicDuke
 S0050 , CosmicDuke ,T1573.001,[CosmicDuke](https://attack.mitre.org/software/S0050) contains a custom version of the RC4 algorithm that includes a programming error.(Citation: F-Secure Cosmicduke),CosmicDuke
 S0050 , CosmicDuke ,T1048,,CosmicDuke
 S0050 , CosmicDuke ,T1048.003,[CosmicDuke](https://attack.mitre.org/software/S0050) exfiltrates collected files over FTP or WebDAV. Exfiltration servers can be separately configured from C2 servers.(Citation: F-Secure Cosmicduke),CosmicDuke
 S0050 , CosmicDuke ,T1068,[CosmicDuke](https://attack.mitre.org/software/S0050) attempts to exploit privilege escalation vulnerabilities CVE-2010-0232 or CVE-2010-4398.(Citation: F-Secure The Dukes),CosmicDuke
 S0050 , CosmicDuke ,T1083,[CosmicDuke](https://attack.mitre.org/software/S0050) searches attached and mounted drives for file extensions and keywords that match a predefined list.(Citation: F-Secure Cosmicduke),CosmicDuke
 S0050 , CosmicDuke ,T1056,,CosmicDuke
 S0050 , CosmicDuke ,T1056.001,[CosmicDuke](https://attack.mitre.org/software/S0050) uses a keylogger.(Citation: F-Secure The Dukes),CosmicDuke
 S0050 , CosmicDuke ,T1003,,CosmicDuke
 S0050 , CosmicDuke ,T1003.002,[CosmicDuke](https://attack.mitre.org/software/S0050) collects Windows account hashes.(Citation: F-Secure The Dukes),CosmicDuke
 S0050 , CosmicDuke ,T1003.004,[CosmicDuke](https://attack.mitre.org/software/S0050) collects LSA secrets.(Citation: F-Secure The Dukes),CosmicDuke
 S0050 , CosmicDuke ,T1053,,CosmicDuke
 S0050 , CosmicDuke ,T1053.005,"[CosmicDuke](https://attack.mitre.org/software/S0050) uses scheduled tasks typically named ""Watchmon Service"" for persistence.(Citation: F-Secure Cosmicduke)",CosmicDuke
 S0050 , CosmicDuke ,T1113,[CosmicDuke](https://attack.mitre.org/software/S0050) takes periodic screenshots and exfiltrates them.(Citation: F-Secure Cosmicduke),CosmicDuke
 S0614 , CostaBricks ,T1140,[CostaBricks](https://attack.mitre.org/software/S0614) has the ability to use bytecode to decrypt embedded payloads.(Citation: BlackBerry CostaRicto November 2020),CostaBricks
 S0614 , CostaBricks ,T1105,[CostaBricks](https://attack.mitre.org/software/S0614) has been used to load [SombRAT](https://attack.mitre.org/software/S0615) onto a compromised host.(Citation: BlackBerry CostaRicto November 2020),CostaBricks
 S0614 , CostaBricks ,T1106,"[CostaBricks](https://attack.mitre.org/software/S0614) has used a number of API calls, including `VirtualAlloc`, `VirtualFree`, `LoadLibraryA`, `GetProcAddress`, and `ExitProcess`.(Citation: BlackBerry CostaRicto November 2020) ",CostaBricks
 S0614 , CostaBricks ,T1027,,CostaBricks
 S0614 , CostaBricks ,T1027.001,[CostaBricks](https://attack.mitre.org/software/S0614) has added the entire unobfuscated code of the legitimate open source application Blink to its code.(Citation: BlackBerry CostaRicto November 2020),CostaBricks
 S0614 , CostaBricks ,T1027.002,[CostaBricks](https://attack.mitre.org/software/S0614) can implement a custom-built virtual machine mechanism to obfuscate its code.(Citation: BlackBerry CostaRicto November 2020),CostaBricks
 S0614 , CostaBricks ,T1055,[CostaBricks](https://attack.mitre.org/software/S0614) can inject a payload into the memory of a compromised host.(Citation: BlackBerry CostaRicto November 2020),CostaBricks
 S0046 , CozyCar ,T1071,,CozyCar
 S0046 , CozyCar ,T1071.001,[CozyCar](https://attack.mitre.org/software/S0046)'s main method of communicating with its C2 servers is using HTTP or HTTPS.(Citation: F-Secure CozyDuke),CozyCar
 S0046 , CozyCar ,T1547,,CozyCar
