gid,name,tactic_id,tactic,TTP,technique,description
G0060,BRONZE BUTLER,TA0004,Privilege Escalation,T1053.005,Scheduled Task,[BRONZE BUTLER](https://attack.mitre.org/groups/G0060) has used [schtasks](https://attack.mitre.org/software/S0111) to register a scheduled task to execute malware during lateral movement.(Citation: Secureworks BRONZE BUTLER Oct 2017)
G0060,BRONZE BUTLER,TA0007,Discovery,T1518,Software Discovery,[BRONZE BUTLER](https://attack.mitre.org/groups/G0060) has used tools to enumerate software installed on an infected host.(Citation: Trend Micro Tick November 2019)
G0060,BRONZE BUTLER,TA0007,Discovery,T1007,System Service Discovery,[BRONZE BUTLER](https://attack.mitre.org/groups/G0060) has used TROJ_GETVERSION to discover system services.(Citation: Trend Micro Tick November 2019)
G0060,BRONZE BUTLER,TA0007,Discovery,T1124,System Time Discovery,[BRONZE BUTLER](https://attack.mitre.org/groups/G0060) has used net time to check the local time on a target system.(Citation: Secureworks BRONZE BUTLER Oct 2017)
G0060,BRONZE BUTLER,TA0008,Lateral Movement,T1080,Taint Shared Content,[BRONZE BUTLER](https://attack.mitre.org/groups/G0060) has placed malware on file shares and given it the same name as legitimate documents on the share.(Citation: Secureworks BRONZE BUTLER Oct 2017)
G0060,BRONZE BUTLER,TA0005,Defense Evasion,T1550,Use Alternate Authentication Material,nan
G0060,BRONZE BUTLER,TA0008,Lateral Movement,T1550,Use Alternate Authentication Material,nan
G0060,BRONZE BUTLER,TA0005,Defense Evasion,T1550.003,Pass the Ticket,[BRONZE BUTLER](https://attack.mitre.org/groups/G0060) has created forged Kerberos Ticket Granting Ticket (TGT) and Ticket Granting Service (TGS) tickets to maintain administrative access.(Citation: Secureworks BRONZE BUTLER Oct 2017)
G0060,BRONZE BUTLER,TA0008,Lateral Movement,T1550.003,Pass the Ticket,[BRONZE BUTLER](https://attack.mitre.org/groups/G0060) has created forged Kerberos Ticket Granting Ticket (TGT) and Ticket Granting Service (TGS) tickets to maintain administrative access.(Citation: Secureworks BRONZE BUTLER Oct 2017)
G0060,BRONZE BUTLER,TA0002,Execution,T1204,User Execution,nan
G0060,BRONZE BUTLER,TA0002,Execution,T1204.002,Malicious File,[BRONZE BUTLER](https://attack.mitre.org/groups/G0060) has attempted to get users to launch malicious Microsoft Word attachments delivered via spearphishing emails.(Citation: Symantec Tick Apr 2016)(Citation: Trend Micro Tick November 2019)
G0114,Chimera,TA0007,Discovery,T1087,Account Discovery,nan
G0114,Chimera,TA0007,Discovery,T1087.001,Local Account,[Chimera](https://attack.mitre.org/groups/G0114) has used net user for account discovery.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0007,Discovery,T1087.002,Domain Account,[Chimera](https://attack.mitre.org/groups/G0114) has has used net user /dom and net user Administrator to enumerate domain accounts including administrator accounts.(Citation: Cycraft Chimera April 2020)(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0007,Discovery,T1217,Browser Information Discovery,[Chimera](https://attack.mitre.org/groups/G0114) has used type \\\c$\Users\\Favorites\Links\Bookmarks bar\Imported From IE\*citrix* for bookmark discovery.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0006,Credential Access,T1110,Brute Force,nan
G0114,Chimera,TA0006,Credential Access,T1110.003,Password Spraying,[Chimera](https://attack.mitre.org/groups/G0114) has used multiple password spraying attacks against victim's remote services to obtain valid user and administrator accounts.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0006,Credential Access,T1110.004,Credential Stuffing,[Chimera](https://attack.mitre.org/groups/G0114) has used credential stuffing against victim's remote services to obtain valid accounts.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0002,Execution,T1059,Command and Scripting Interpreter,nan
G0114,Chimera,TA0002,Execution,T1059.001,PowerShell,[Chimera](https://attack.mitre.org/groups/G0114) has used PowerShell scripts to execute malicious payloads and the DSInternals PowerShell module to make use of Active Directory features.(Citation: Cycraft Chimera April 2020)(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0002,Execution,T1059.003,Windows Command Shell,[Chimera](https://attack.mitre.org/groups/G0114) has used the Windows Command Shell and batch scripts for execution on compromised hosts.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0007,Discovery,T1482,Domain Trust Discovery,[Chimera](https://attack.mitre.org/groups/G0114) has nltest /domain_trusts to identify domain trust relationships.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0003,Persistence,T1133,External Remote Services,"[Chimera](https://attack.mitre.org/groups/G0114) has used legitimate credentials to login to an external VPN, Citrix, SSH, and other remote services.(Citation: Cycraft Chimera April 2020)(Citation: NCC Group Chimera January 2021)"
G0114,Chimera,TA0007,Discovery,T1083,File and Directory Discovery,[Chimera](https://attack.mitre.org/groups/G0114) has utilized multiple commands to identify data of interest in file and directory listings.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0003,Persistence,T1574,Hijack Execution Flow,nan
G0114,Chimera,TA0004,Privilege Escalation,T1574,Hijack Execution Flow,nan
G0114,Chimera,TA0005,Defense Evasion,T1574,Hijack Execution Flow,nan
G0114,Chimera,TA0003,Persistence,T1574.002,DLL Side-Loading,[Chimera](https://attack.mitre.org/groups/G0114) has used side loading to place malicious DLLs in memory.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0004,Privilege Escalation,T1574.002,DLL Side-Loading,[Chimera](https://attack.mitre.org/groups/G0114) has used side loading to place malicious DLLs in memory.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0005,Defense Evasion,T1574.002,DLL Side-Loading,[Chimera](https://attack.mitre.org/groups/G0114) has used side loading to place malicious DLLs in memory.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0005,Defense Evasion,T1070,Indicator Removal,nan
G0114,Chimera,TA0005,Defense Evasion,T1070.001,Clear Windows Event Logs,[Chimera](https://attack.mitre.org/groups/G0114) has cleared event logs on compromised hosts.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0005,Defense Evasion,T1070.004,File Deletion,[Chimera](https://attack.mitre.org/groups/G0114) has performed file deletion to evade detection.(Citation: Cycraft Chimera April 2020)
G0114,Chimera,TA0005,Defense Evasion,T1070.006,Timestomp,[Chimera](https://attack.mitre.org/groups/G0114) has used a Windows version of the Linux touch command to modify the date and time stamp on DLLs.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0008,Lateral Movement,T1570,Lateral Tool Transfer,[Chimera](https://attack.mitre.org/groups/G0114) has copied tools between compromised hosts using SMB.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0005,Defense Evasion,T1036,Masquerading,nan
G0114,Chimera,TA0005,Defense Evasion,T1036.005,Match Legitimate Name or Location,"[Chimera](https://attack.mitre.org/groups/G0114) has renamed malware to GoogleUpdate.exe and WinRAR to jucheck.exe, RecordedTV.ms, teredo.tmp, update.exe, and msadcs1.exe.(Citation: Cycraft Chimera April 2020)"
G0114,Chimera,TA0003,Persistence,T1556,Modify Authentication Process,nan
G0114,Chimera,TA0005,Defense Evasion,T1556,Modify Authentication Process,nan
G0114,Chimera,TA0006,Credential Access,T1556,Modify Authentication Process,nan
G0114,Chimera,TA0003,Persistence,T1556.001,Domain Controller Authentication,[Chimera](https://attack.mitre.org/groups/G0114)'s malware has altered the NTLM authentication program on domain controllers to allow [Chimera](https://attack.mitre.org/groups/G0114) to login without a valid credential.(Citation: Cycraft Chimera April 2020)
G0114,Chimera,TA0005,Defense Evasion,T1556.001,Domain Controller Authentication,[Chimera](https://attack.mitre.org/groups/G0114)'s malware has altered the NTLM authentication program on domain controllers to allow [Chimera](https://attack.mitre.org/groups/G0114) to login without a valid credential.(Citation: Cycraft Chimera April 2020)
G0114,Chimera,TA0006,Credential Access,T1556.001,Domain Controller Authentication,[Chimera](https://attack.mitre.org/groups/G0114)'s malware has altered the NTLM authentication program on domain controllers to allow [Chimera](https://attack.mitre.org/groups/G0114) to login without a valid credential.(Citation: Cycraft Chimera April 2020)
G0114,Chimera,TA0006,Credential Access,T1111,Multi-Factor Authentication Interception,[Chimera](https://attack.mitre.org/groups/G0114) has registered alternate phone numbers for compromised users to intercept 2FA codes sent via SMS.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0002,Execution,T1106,Native API,[Chimera](https://attack.mitre.org/groups/G0114) has used direct Windows system calls by leveraging Dumpert.(Citation: Cycraft Chimera April 2020)
G0114,Chimera,TA0007,Discovery,T1046,Network Service Discovery,[Chimera](https://attack.mitre.org/groups/G0114) has used the get -b  -e  -p command for network scanning as well as a custom Python tool  packed into a Windows executable named Get.exe to scan IP ranges for HTTP.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0007,Discovery,T1135,Network Share Discovery,[Chimera](https://attack.mitre.org/groups/G0114) has used net share and net view to identify network shares of interest.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0005,Defense Evasion,T1027,Obfuscated Files or Information,nan
G0114,Chimera,TA0005,Defense Evasion,T1027.010,Command Obfuscation,[Chimera](https://attack.mitre.org/groups/G0114) has encoded PowerShell commands.(Citation: Cycraft Chimera April 2020)
G0114,Chimera,TA0006,Credential Access,T1003,OS Credential Dumping,nan
G0114,Chimera,TA0006,Credential Access,T1003.003,NTDS,"[Chimera](https://attack.mitre.org/groups/G0114) has gathered the SYSTEM registry and ntds.dit files from target systems.(Citation: Cycraft Chimera April 2020) [Chimera](https://attack.mitre.org/groups/G0114) specifically has used the NtdsAudit tool to dump the password hashes of domain users via msadcs.exe ""NTDS.dit"" -s ""SYSTEM"" -p RecordedTV_pdmp.txt --users-csv RecordedTV_users.csv and used ntdsutil to copy the Active Directory database.(Citation: NCC Group Chimera January 2021)"
G0114,Chimera,TA0007,Discovery,T1201,Password Policy Discovery,[Chimera](https://attack.mitre.org/groups/G0114) has used the NtdsAudit utility to collect information related to accounts and passwords.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0007,Discovery,T1069,Permission Groups Discovery,nan
G0114,Chimera,TA0007,Discovery,T1069.001,Local Groups,[Chimera](https://attack.mitre.org/groups/G0114) has used net localgroup administrators to identify  accounts with local administrative rights.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0007,Discovery,T1057,Process Discovery,[Chimera](https://attack.mitre.org/groups/G0114) has used tasklist to enumerate processes.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0007,Discovery,T1012,Query Registry,[Chimera](https://attack.mitre.org/groups/G0114) has queried Registry keys using reg query \\\HKU\\SOFTWARE\Microsoft\Terminal Server Client\Servers and reg query \\\HKU\\Software\Microsoft\Windows\CurrentVersion\Internet Settings.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0008,Lateral Movement,T1021,Remote Services,nan
G0114,Chimera,TA0008,Lateral Movement,T1021.001,Remote Desktop Protocol,[Chimera](https://attack.mitre.org/groups/G0114) has used RDP to access targeted systems.(Citation: Cycraft Chimera April 2020)
G0114,Chimera,TA0008,Lateral Movement,T1021.002,SMB/Windows Admin Shares,[Chimera](https://attack.mitre.org/groups/G0114) has used Windows admin shares to move laterally.(Citation: Cycraft Chimera April 2020)(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0008,Lateral Movement,T1021.006,Windows Remote Management,[Chimera](https://attack.mitre.org/groups/G0114) has used WinRM for lateral movement.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0007,Discovery,T1018,Remote System Discovery,[Chimera](https://attack.mitre.org/groups/G0114) has utilized various scans and queries to find domain controllers and remote services in the target environment.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0002,Execution,T1053,Scheduled Task/Job,nan
G0114,Chimera,TA0003,Persistence,T1053,Scheduled Task/Job,nan
G0114,Chimera,TA0004,Privilege Escalation,T1053,Scheduled Task/Job,nan
G0114,Chimera,TA0002,Execution,T1053.005,Scheduled Task,"[Chimera](https://attack.mitre.org/groups/G0114) has used scheduled tasks to invoke Cobalt Strike including through batch script schtasks /create /ru ""SYSTEM"" /tn ""update"" /tr ""cmd /c c:\windows\temp\update.bat"" /sc once /f /st and to maintain persistence.(Citation: Cycraft Chimera April 2020)(Citation: NCC Group Chimera January 2021)"
G0114,Chimera,TA0003,Persistence,T1053.005,Scheduled Task,"[Chimera](https://attack.mitre.org/groups/G0114) has used scheduled tasks to invoke Cobalt Strike including through batch script schtasks /create /ru ""SYSTEM"" /tn ""update"" /tr ""cmd /c c:\windows\temp\update.bat"" /sc once /f /st and to maintain persistence.(Citation: Cycraft Chimera April 2020)(Citation: NCC Group Chimera January 2021)"
G0114,Chimera,TA0004,Privilege Escalation,T1053.005,Scheduled Task,"[Chimera](https://attack.mitre.org/groups/G0114) has used scheduled tasks to invoke Cobalt Strike including through batch script schtasks /create /ru ""SYSTEM"" /tn ""update"" /tr ""cmd /c c:\windows\temp\update.bat"" /sc once /f /st and to maintain persistence.(Citation: Cycraft Chimera April 2020)(Citation: NCC Group Chimera January 2021)"
G0114,Chimera,TA0007,Discovery,T1082,System Information Discovery,"[Chimera](https://attack.mitre.org/groups/G0114) has used `fsutil fsinfo drives`, `systeminfo`, and `vssadmin list shadows` for system information including shadow volumes and drive information.(Citation: NCC Group Chimera January 2021)"
G0114,Chimera,TA0007,Discovery,T1016,System Network Configuration Discovery,"[Chimera](https://attack.mitre.org/groups/G0114) has used [ipconfig](https://attack.mitre.org/software/S0100), [Ping](https://attack.mitre.org/software/S0097), and tracert to enumerate the IP address and network environment and settings of the local host.(Citation: NCC Group Chimera January 2021)"
G0114,Chimera,TA0007,Discovery,T1049,System Network Connections Discovery,[Chimera](https://attack.mitre.org/groups/G0114) has used netstat -ano | findstr EST to discover network connections.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0007,Discovery,T1033,System Owner/User Discovery,[Chimera](https://attack.mitre.org/groups/G0114) has used the quser command to show currently logged on users.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0007,Discovery,T1007,System Service Discovery,[Chimera](https://attack.mitre.org/groups/G0114) has used net start and net use for system service discovery.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0002,Execution,T1569,System Services,nan
G0114,Chimera,TA0002,Execution,T1569.002,Service Execution,[Chimera](https://attack.mitre.org/groups/G0114) has used [PsExec](https://attack.mitre.org/software/S0029) to deploy beacons on compromised systems.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0007,Discovery,T1124,System Time Discovery,[Chimera](https://attack.mitre.org/groups/G0114) has used time /t and net time \\ip/hostname for system time discovery.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0005,Defense Evasion,T1550,Use Alternate Authentication Material,nan
G0114,Chimera,TA0008,Lateral Movement,T1550,Use Alternate Authentication Material,nan
G0114,Chimera,TA0005,Defense Evasion,T1550.002,Pass the Hash,[Chimera](https://attack.mitre.org/groups/G0114) has dumped password hashes for use in pass the hash authentication attacks.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0008,Lateral Movement,T1550.002,Pass the Hash,[Chimera](https://attack.mitre.org/groups/G0114) has dumped password hashes for use in pass the hash authentication attacks.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0003,Persistence,T1078,Valid Accounts,[Chimera](https://attack.mitre.org/groups/G0114) has used a valid account to maintain persistence via scheduled task.(Citation: Cycraft Chimera April 2020)
G0114,Chimera,TA0004,Privilege Escalation,T1078,Valid Accounts,[Chimera](https://attack.mitre.org/groups/G0114) has used a valid account to maintain persistence via scheduled task.(Citation: Cycraft Chimera April 2020)
G0114,Chimera,TA0005,Defense Evasion,T1078,Valid Accounts,[Chimera](https://attack.mitre.org/groups/G0114) has used a valid account to maintain persistence via scheduled task.(Citation: Cycraft Chimera April 2020)
G0114,Chimera,TA0003,Persistence,T1078.002,Domain Accounts,[Chimera](https://attack.mitre.org/groups/G0114) has used compromised domain accounts to gain access to the target environment.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0004,Privilege Escalation,T1078.002,Domain Accounts,[Chimera](https://attack.mitre.org/groups/G0114) has used compromised domain accounts to gain access to the target environment.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0005,Defense Evasion,T1078.002,Domain Accounts,[Chimera](https://attack.mitre.org/groups/G0114) has used compromised domain accounts to gain access to the target environment.(Citation: NCC Group Chimera January 2021)
G0114,Chimera,TA0002,Execution,T1047,Windows Management Instrumentation,[Chimera](https://attack.mitre.org/groups/G0114) has used WMIC to execute remote commands.(Citation: Cycraft Chimera April 2020)(Citation: NCC Group Chimera January 2021)
G0012,Darkhotel,TA0003,Persistence,T1547,Boot or Logon Autostart Execution,nan
G0012,Darkhotel,TA0004,Privilege Escalation,T1547,Boot or Logon Autostart Execution,nan
G0012,Darkhotel,TA0003,Persistence,T1547.001,Registry Run Keys / Startup Folder,[Darkhotel](https://attack.mitre.org/groups/G0012) has been known to establish persistence by adding programs to the Run Registry key.(Citation: Kaspersky Darkhotel)
G0012,Darkhotel,TA0004,Privilege Escalation,T1547.001,Registry Run Keys / Startup Folder,[Darkhotel](https://attack.mitre.org/groups/G0012) has been known to establish persistence by adding programs to the Run Registry key.(Citation: Kaspersky Darkhotel)
G0012,Darkhotel,TA0002,Execution,T1059,Command and Scripting Interpreter,nan
G0012,Darkhotel,TA0002,Execution,T1059.003,Windows Command Shell,[Darkhotel](https://attack.mitre.org/groups/G0012) has dropped an mspaint.lnk shortcut to disk which launches a shell script that downloads and executes a file.(Citation: Securelist Darkhotel Aug 2015)
G0012,Darkhotel,TA0005,Defense Evasion,T1140,Deobfuscate/Decode Files or Information,[Darkhotel](https://attack.mitre.org/groups/G0012) has decrypted strings and imports using RC4 during execution.(Citation: Securelist Darkhotel Aug 2015)(Citation: Microsoft DUBNIUM July 2016)
G0012,Darkhotel,TA0002,Execution,T1203,Exploitation for Client Execution,[Darkhotel](https://attack.mitre.org/groups/G0012) has exploited Adobe Flash vulnerability CVE-2015-8651 for execution.(Citation: Microsoft DUBNIUM June 2016)
G0012,Darkhotel,TA0007,Discovery,T1083,File and Directory Discovery,[Darkhotel](https://attack.mitre.org/groups/G0012) has used malware that searched for files with specific patterns.(Citation: Microsoft DUBNIUM July 2016)
G0012,Darkhotel,TA0006,Credential Access,T1056,Input Capture,nan
G0012,Darkhotel,TA0006,Credential Access,T1056.001,Keylogging,[Darkhotel](https://attack.mitre.org/groups/G0012) has used a keylogger.(Citation: Kaspersky Darkhotel)
G0012,Darkhotel,TA0005,Defense Evasion,T1036,Masquerading,nan
G0012,Darkhotel,TA0005,Defense Evasion,T1036.005,Match Legitimate Name or Location,[Darkhotel](https://attack.mitre.org/groups/G0012) has used malware that is disguised as a Secure Shell (SSH) tool.(Citation: Microsoft DUBNIUM June 2016)
G0012,Darkhotel,TA0005,Defense Evasion,T1027,Obfuscated Files or Information,nan
G0012,Darkhotel,TA0005,Defense Evasion,T1027.013,Encrypted/Encoded File,"[Darkhotel](https://attack.mitre.org/groups/G0012) has obfuscated code using RC4, XOR, and RSA.(Citation: Securelist Darkhotel Aug 2015)(Citation: Microsoft DUBNIUM July 2016)"
G0012,Darkhotel,TA0007,Discovery,T1057,Process Discovery,[Darkhotel](https://attack.mitre.org/groups/G0012) malware can collect a list of running processes on a system.(Citation: Securelist Darkhotel Aug 2015)
G0012,Darkhotel,TA0008,Lateral Movement,T1091,Replication Through Removable Media,[Darkhotel](https://attack.mitre.org/groups/G0012)'s selective infector modifies executables stored on removable media as a method of spreading across computers.(Citation: Kaspersky Darkhotel)
G0012,Darkhotel,TA0007,Discovery,T1518,Software Discovery,nan
G0012,Darkhotel,TA0007,Discovery,T1518.001,Security Software Discovery,[Darkhotel](https://attack.mitre.org/groups/G0012) has searched for anti-malware strings and anti-virus processes running on the system.(Citation: Securelist Darkhotel Aug 2015)(Citation: Microsoft DUBNIUM June 2016)
G0012,Darkhotel,TA0005,Defense Evasion,T1553,Subvert Trust Controls,nan
G0012,Darkhotel,TA0005,Defense Evasion,T1553.002,Code Signing,[Darkhotel](https://attack.mitre.org/groups/G0012) has used code-signing certificates on its malware that are either forged due to weak keys or stolen. [Darkhotel](https://attack.mitre.org/groups/G0012) has also stolen certificates and signed backdoors and downloaders with them.(Citation: Kaspersky Darkhotel)(Citation: Securelist Darkhotel Aug 2015)
G0012,Darkhotel,TA0007,Discovery,T1082,System Information Discovery,"[Darkhotel](https://attack.mitre.org/groups/G0012) has collected the hostname, OS version, service pack version, and the processor architecture from the victim’s machine.(Citation: Securelist Darkhotel Aug 2015)(Citation: Microsoft DUBNIUM July 2016)"
G0012,Darkhotel,TA0007,Discovery,T1016,System Network Configuration Discovery,[Darkhotel](https://attack.mitre.org/groups/G0012) has collected the IP address and network adapter information from the victim’s machine.(Citation: Securelist Darkhotel Aug 2015)(Citation: Microsoft DUBNIUM July 2016)
G0012,Darkhotel,TA0007,Discovery,T1124,System Time Discovery,[Darkhotel](https://attack.mitre.org/groups/G0012) malware can obtain system time from a compromised host.(Citation: Lastline DarkHotel Just In Time Decryption Nov 2015)
G0012,Darkhotel,TA0008,Lateral Movement,T1080,Taint Shared Content,[Darkhotel](https://attack.mitre.org/groups/G0012) used a virus that propagates by infecting executables stored on shared drives.(Citation: Kaspersky Darkhotel)
G0012,Darkhotel,TA0002,Execution,T1204,User Execution,nan
G0012,Darkhotel,TA0002,Execution,T1204.002,Malicious File,[Darkhotel](https://attack.mitre.org/groups/G0012) has sent spearphishing emails in an attempt to lure users into clicking on a malicious attachments.(Citation: Securelist Darkhotel Aug 2015)(Citation: Microsoft DUBNIUM July 2016)
G0012,Darkhotel,TA0005,Defense Evasion,T1497,Virtualization/Sandbox Evasion,[Darkhotel](https://attack.mitre.org/groups/G0012) malware has employed just-in-time decryption of strings to evade sandbox detection.(Citation: Lastline DarkHotel Just In Time Decryption Nov 2015)
G0012,Darkhotel,TA0007,Discovery,T1497,Virtualization/Sandbox Evasion,[Darkhotel](https://attack.mitre.org/groups/G0012) malware has employed just-in-time decryption of strings to evade sandbox detection.(Citation: Lastline DarkHotel Just In Time Decryption Nov 2015)
G0012,Darkhotel,TA0005,Defense Evasion,T1497.001,System Checks,"[Darkhotel](https://attack.mitre.org/groups/G0012) malware has used a series of checks to determine if it's being analyzed; checks include the length of executable names, if a filename ends with .Md5.exe, and if the program is executed from the root of the C:\ drive, as well as checks for sandbox-related libraries.(Citation: Lastline DarkHotel Just In Time Decryption Nov 2015)(Citation: Microsoft DUBNIUM June 2016)"
G0012,Darkhotel,TA0007,Discovery,T1497.001,System Checks,"[Darkhotel](https://attack.mitre.org/groups/G0012) malware has used a series of checks to determine if it's being analyzed; checks include the length of executable names, if a filename ends with .Md5.exe, and if the program is executed from the root of the C:\ drive, as well as checks for sandbox-related libraries.(Citation: Lastline DarkHotel Just In Time Decryption Nov 2015)(Citation: Microsoft DUBNIUM June 2016)"
G0012,Darkhotel,TA0005,Defense Evasion,T1497.002,User Activity Based Checks,[Darkhotel](https://attack.mitre.org/groups/G0012) has used malware that repeatedly checks the mouse cursor position to determine if a real user is on the system.(Citation: Lastline DarkHotel Just In Time Decryption Nov 2015)
G0012,Darkhotel,TA0007,Discovery,T1497.002,User Activity Based Checks,[Darkhotel](https://attack.mitre.org/groups/G0012) has used malware that repeatedly checks the mouse cursor position to determine if a real user is on the system.(Citation: Lastline DarkHotel Just In Time Decryption Nov 2015)
G0035,Dragonfly,TA0007,Discovery,T1087,Account Discovery,nan
G0035,Dragonfly,TA0007,Discovery,T1087.002,Domain Account,[Dragonfly](https://attack.mitre.org/groups/G0035) has used batch scripts to enumerate users on a victim domain controller.(Citation: US-CERT TA18-074A)
G0035,Dragonfly,TA0003,Persistence,T1098,Account Manipulation,[Dragonfly](https://attack.mitre.org/groups/G0035) has added newly created accounts to the administrators group to maintain elevated access.(Citation: US-CERT TA18-074A)
G0035,Dragonfly,TA0004,Privilege Escalation,T1098,Account Manipulation,[Dragonfly](https://attack.mitre.org/groups/G0035) has added newly created accounts to the administrators group to maintain elevated access.(Citation: US-CERT TA18-074A)
G0035,Dragonfly,TA0003,Persistence,T1547,Boot or Logon Autostart Execution,nan
G0035,Dragonfly,TA0004,Privilege Escalation,T1547,Boot or Logon Autostart Execution,nan
G0035,Dragonfly,TA0003,Persistence,T1547.001,Registry Run Keys / Startup Folder,[Dragonfly](https://attack.mitre.org/groups/G0035) has added the registry value ntdll to the Registry Run key to establish persistence.(Citation: US-CERT TA18-074A)
G0035,Dragonfly,TA0004,Privilege Escalation,T1547.001,Registry Run Keys / Startup Folder,[Dragonfly](https://attack.mitre.org/groups/G0035) has added the registry value ntdll to the Registry Run key to establish persistence.(Citation: US-CERT TA18-074A)
G0035,Dragonfly,TA0006,Credential Access,T1110,Brute Force,[Dragonfly](https://attack.mitre.org/groups/G0035) has attempted to brute force credentials to gain access.(Citation: CISA AA20-296A Berserk Bear December 2020)
G0035,Dragonfly,TA0006,Credential Access,T1110.002,Password Cracking,"[Dragonfly](https://attack.mitre.org/groups/G0035) has dropped and executed tools used for password cracking, including Hydra and [CrackMapExec](https://attack.mitre.org/software/S0488).(Citation: US-CERT TA18-074A)(Citation: Kali Hydra)"
G0035,Dragonfly,TA0002,Execution,T1059,Command and Scripting Interpreter,[Dragonfly](https://attack.mitre.org/groups/G0035) has used the command line for execution.(Citation: US-CERT TA18-074A)
G0035,Dragonfly,TA0002,Execution,T1059.001,PowerShell,[Dragonfly](https://attack.mitre.org/groups/G0035) has used PowerShell scripts for execution.(Citation: US-CERT TA18-074A)(Citation: Symantec Dragonfly Sept 2017)
G0035,Dragonfly,TA0002,Execution,T1059.003,Windows Command Shell,"[Dragonfly](https://attack.mitre.org/groups/G0035) has used various types of scripting to perform operations, including batch scripts.(Citation: US-CERT TA18-074A)"
G0035,Dragonfly,TA0002,Execution,T1059.006,Python,"[Dragonfly](https://attack.mitre.org/groups/G0035) has used various types of scripting to perform operations, including Python scripts. The group was observed installing Python 2.7 on a victim.(Citation: US-CERT TA18-074A)"
G0035,Dragonfly,TA0003,Persistence,T1136,Create Account,nan
G0035,Dragonfly,TA0003,Persistence,T1136.001,Local Account,"[Dragonfly](https://attack.mitre.org/groups/G0035) has created accounts on victims, including administrator accounts, some of which appeared to be tailored to each individual staging target.(Citation: US-CERT TA18-074A)"
G0035,Dragonfly,TA0002,Execution,T1203,Exploitation for Client Execution,[Dragonfly](https://attack.mitre.org/groups/G0035) has exploited CVE-2011-0611 in Adobe Flash Player to gain execution on a targeted system.(Citation: Gigamon Berserk Bear October 2021)
G0035,Dragonfly,TA0008,Lateral Movement,T1210,Exploitation of Remote Services,[Dragonfly](https://attack.mitre.org/groups/G0035) has exploited a Windows Netlogon vulnerability (CVE-2020-1472) to obtain access to Windows Active Directory servers.(Citation: CISA AA20-296A Berserk Bear December 2020)
G0035,Dragonfly,TA0003,Persistence,T1133,External Remote Services,[Dragonfly](https://attack.mitre.org/groups/G0035) has used VPNs and Outlook Web Access (OWA) to maintain access to victim networks.(Citation: US-CERT TA18-074A)(Citation: CISA AA20-296A Berserk Bear December 2020)
G0035,Dragonfly,TA0007,Discovery,T1083,File and Directory Discovery,[Dragonfly](https://attack.mitre.org/groups/G0035) has used a batch script to gather folder and file names from victim hosts.(Citation: US-CERT TA18-074A)(Citation: Gigamon Berserk Bear October 2021)(Citation: CISA AA20-296A Berserk Bear December 2020)
G0035,Dragonfly,TA0006,Credential Access,T1187,Forced Authentication,[Dragonfly](https://attack.mitre.org/groups/G0035) has gathered hashed user credentials over SMB using spearphishing attachments with external resource links and by modifying .LNK file icon resources to collect credentials from virtualized systems.(Citation: US-CERT TA18-074A)(Citation: Gigamon Berserk Bear October 2021)
G0035,Dragonfly,TA0005,Defense Evasion,T1564,Hide Artifacts,nan
